whours,gender,age,educ,marital,health,healthage
8,women,39,university,single,6=Very important,234
20,women,52,more than university,married,6=Very important,312
4,men,43,more than university,married,5,215
12,women,52,secondary/high,married,6=Very important,312
12,women,43,more than university,married,5,215
12,women,17,secondary/high,single,1=Not important at all,17
12,men,39,university,single,6=Very important,234
8,men,39,university,married,6=Very important,234
8,women,34,university,married,5,170
8,men,40,more than university,married,6=Very important,240
16,women,55,university,married,6=Very important,330
0,men,30,more than university,married,5,150
8,women,41,more than university,married,5,205
8,women,37,more than university,married,3,111
12,men,39,university,married,6=Very important,234
8,women,48,more than university,married,6=Very important,288
12,women,53,secondary/high,married,6=Very important,318
4,men,47,secondary/high,married,5,235
12,men,48,secondary/high,single,6=Very important,288
4,men,59,more than university,married,3,177
4,men,38,university,single,4,152
4,women,33,university,single,6=Very important,198
12,men,48,more than university,married,5,240
12,women,28,secondary/high,single,6=Very important,168
4,women,44,more than university,married,6=Very important,264
20,women,25,university,single,5,125
8,women,47,university,single,6=Very important,282
12,women,37,more than university,married,3,111
12,women,39,more than university,married,6=Very important,234
12,men,51,more than university,married,6=Very important,306
12,women,59,university,married,5,295
8,men,34,secondary/high,single,5,170
12,women,46,university,married,6=Very important,276
12,men,24,university,single,6=Very important,144
20,women,45,secondary/high,single,6=Very important,270
4,men,59,more than university,married,6=Very important,354
8,men,32,more than university,single,5,160
20,women,40,secondary/high,married,5,200
12,women,29,secondary/high,single,5,145
32,men,38,university,married,6=Very important,228
16,men,16,secondary/high,single,6=Very important,96
24,women,63,university,married,6=Very important,378
8,women,57,university,married,6=Very important,342
4,women,50,secondary/high,married,6=Very important,300
4,women,48,secondary/high,married,6=Very important,288
8,men,47,university,married,5,235
8,women,37,more than university,married,5,185
0,women,42,university,single,4,168
20,women,30,secondary/high,married,6=Very important,180
20,men,25,secondary/high,single,6=Very important,150
8,women,45,more than university,married,6=Very important,270
8,women,39,more than university,single,5,195
8,women,35,more than university,married,5,175
20,men,44,secondary/high,single,6=Very important,264
12,men,44,more than university,single,6=Very important,264
12,women,35,university,married,6=Very important,210
0,women,28,more than university,single,4,112
12,men,69,university,married,5,345
8,women,58,university,married,5,290
0,women,35,university,single,6=Very important,210
4,women,38,university,married,6=Very important,228
12,men,42,more than university,married,4,168
8,women,21,secondary/high,single,4,84
24,men,23,more than university,single,3,69
8,women,50,more than university,married,5,250
4,women,51,secondary/high,married,5,255
20,men,41,more than university,married,5,205
8,women,36,more than university,single,6=Very important,216
32,men,35,secondary/high,married,6=Very important,210
4,women,56,secondary/high,married,5,280
16,men,54,secondary/high,married,5,270
8,men,56,university,married,5,280
12,men,47,more than university,single,6=Very important,282
0,men,33,university,single,6=Very important,198
16,women,34,university,single,1=Not important at all,34
