id,age,educ,paeduc,sex,race,income,region,polviews,relig,slt8,s9_11,s12,s13_15,s16,s17_18,sgt18,stage,cage,female,white,black,other,south,nrthest,midwest,west,missed,missag,misssx,missra,missrg,misspa,miss
66,43,12,12,male,black,$25000 or more,w. sou. central,,none,12,1,1,0,0,0,0,-.17404461,-3.02,No,No,Yes,No,Yes,No,No,No,0,0,0,0,0,0,0
67,61,14,14,female,white,$25000 or more,w. sou. central,slghtly conservative,catholic,14,1,0,1,0,0,0,.86247408,14.98,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
68,33,7,14,female,white,$25000 or more,w. sou. central,slightly liberal,protestant,7,1,0,1,0,0,0,-.74988836,-13.02,Yes,Yes,No,No,Yes,No,No,No,0,0,0,0,0,0,0
69,34,12,,female,black,$15000 - 19999,e. nor. central,slightly liberal,protestant,12,1,0,1,0,1,1,-.69230396,-12.02,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,1,1
70,89,10,4,female,white,lt $1000,e. nor. central,moderate,protestant,10,0,0,0,0,0,0,2.4748366,42.98,Yes,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
71,83,10,,female,black,lt $1000,e. nor. central,conservative,protestant,10,1,0,1,0,1,1,2.1293304,36.98,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,1,1
72,78,7,,female,black,$1000 to 2999,e. nor. central,moderate,other (specify),7,1,0,1,0,1,1,1.8414085,31.98,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,1,1
73,89,12,20,female,black,$10000 - 14999,e. nor. central,moderate,protestant,12,1,0,1,0,1,1,2.4748366,42.98,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,0,0
74,84,12,0,female,black,$5000 to 5999,e. nor. central,liberal,protestant,12,0,0,0,0,0,0,2.1869147,37.98,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,0,0
75,69,4,,female,black,refused,e. nor. central,slghtly conservative,protestant,4,1,0,1,0,1,1,1.3231491,22.98,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,1,1
76,32,11,12,female,black,$10000 - 14999,e. nor. central,moderate,protestant,11,1,1,0,0,0,0,-.80747271,-14.02,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,0,0
77,76,9,,female,black,refused,e. nor. central,moderate,protestant,9,1,0,1,0,1,1,1.7262397,29.98,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,1,1
78,41,13,15,female,black,$7000 to 7999,e. nor. central,moderate,protestant,13,1,0,1,0,0,0,-.28921336,-5.02,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,0,0
79,32,19,12,male,black,$25000 or more,e. nor. central,moderate,catholic,19,1,1,0,0,0,0,-.80747271,-14.02,No,No,Yes,No,No,No,Yes,No,0,0,0,0,0,0,0
80,29,18,,female,black,$25000 or more,e. nor. central,moderate,protestant,18,1,0,1,0,1,1,-.98022586,-17.02,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,1,1
81,40,13,18,female,black,refused,e. nor. central,,protestant,13,1,0,1,0,1,0,-.34679773,-6.02,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,0,0
82,44,14,12,female,white,$25000 or more,e. nor. central,conservative,protestant,14,1,1,0,0,0,0,-.11646024,-2.02,Yes,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
83,70,19,4,female,black,$25000 or more,e. nor. central,moderate,catholic,19,0,0,0,0,0,0,1.3807335,23.98,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,0,0
84,40,15,13,male,black,,e. nor. central,moderate,protestant,15,1,0,1,0,0,0,-.34679773,-6.02,No,No,Yes,No,No,No,Yes,No,0,0,0,0,0,0,0
85,51,13,8,female,black,$25000 or more,e. nor. central,moderate,protestant,13,0,0,0,0,0,0,.28663036,4.98,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,0,0
86,75,13,,male,white,$10000 - 14999,e. nor. central,moderate,protestant,13,1,0,1,0,1,1,1.6686553,28.98,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,1,1
87,22,12,,male,black,$25000 or more,e. nor. central,moderate,protestant,12,1,0,1,0,1,1,-1.3833164,-24.02,No,No,Yes,No,No,No,Yes,No,0,0,0,0,0,1,1
88,53,16,2,female,black,$25000 or more,e. nor. central,moderate,protestant,16,0,0,0,0,0,0,.40179911,6.98,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,0,0
89,20,12,,male,white,$25000 or more,e. nor. central,liberal,catholic,12,1,0,1,0,1,1,-1.4984852,-26.02,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,1,1
90,80,12,,female,white,$20000 - 24999,e. nor. central,moderate,catholic,12,1,0,1,0,1,1,1.9565772,33.98,Yes,Yes,No,No,No,No,Yes,No,0,0,0,0,0,1,1
91,70,13,,male,white,$15000 - 19999,e. nor. central,slghtly conservative,catholic,13,1,0,1,0,1,1,1.3807335,23.98,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,1,1
92,45,14,12,male,white,$25000 or more,e. nor. central,slghtly conservative,catholic,14,1,1,0,0,0,0,-.05887587,-1.02,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
93,46,,10,female,white,$25000 or more,e. nor. central,moderate,inter-nondenominational,,1,0,0,0,0,0,-.0012914971,-.02,Yes,Yes,No,No,No,No,Yes,No,1,0,0,0,0,0,1
94,24,16,14,male,white,$25000 or more,e. nor. central,slightly liberal,catholic,16,1,0,1,0,0,0,-1.2681477,-22.02,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
95,51,13,9,male,white,$25000 or more,e. nor. central,moderate,catholic,13,1,0,0,0,0,0,.28663036,4.98,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
96,32,14,18,male,white,$25000 or more,e. nor. central,conservative,catholic,14,1,0,1,0,1,0,-.80747271,-14.02,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
97,53,12,13,female,white,refused,e. nor. central,,catholic,12,1,0,1,0,0,0,.40179911,6.98,Yes,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
98,52,18,18,female,white,$25000 or more,e. nor. central,extremely liberal,none,18,1,0,1,0,1,0,.34421474,5.98,Yes,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
99,83,16,12,male,white,$25000 or more,e. nor. central,moderate,none,16,1,1,0,0,0,0,2.1293304,36.98,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
100,39,19,12,male,white,refused,e. nor. central,moderate,none,19,1,1,0,0,0,0,-.40438211,-7.02,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
101,47,19,16,male,white,refused,e. nor. central,slightly liberal,protestant,19,1,0,1,1,0,0,.056292877,.98000002,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
102,45,16,,male,white,$25000 or more,e. nor. central,slghtly conservative,catholic,16,1,0,1,0,1,1,-.05887587,-1.02,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,1,1
103,48,16,12,female,white,$25000 or more,e. nor. central,slightly liberal,none,16,1,1,0,0,0,0,.11387725,1.98,Yes,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
104,50,16,,male,white,$25000 or more,e. nor. central,moderate,hinduism,16,1,0,1,0,1,1,.229046,3.98,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,1,1
105,78,13,14,male,white,$25000 or more,e. nor. central,slghtly conservative,protestant,13,1,0,1,0,0,0,1.8414085,31.98,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
106,45,17,12,female,white,,e. nor. central,liberal,jewish,17,1,1,0,0,0,0,-.05887587,-1.02,Yes,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
107,56,16,14,male,white,refused,e. nor. central,liberal,jewish,16,1,0,1,0,0,0,.57455224,9.9799995,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
108,47,16,14,female,white,$25000 or more,e. nor. central,moderate,jewish,16,1,0,1,0,0,0,.056292877,.98000002,Yes,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
109,72,16,,male,white,$25000 or more,e. nor. central,moderate,jewish,16,1,0,1,0,1,1,1.4959022,25.98,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,1,1
110,29,15,16,female,other,refused,e. nor. central,moderate,protestant,15,1,0,1,1,0,0,-.98022586,-17.02,Yes,No,No,Yes,No,No,Yes,No,0,0,0,0,0,0,0
111,26,16,16,male,white,$25000 or more,e. nor. central,moderate,none,16,1,0,1,1,0,0,-1.152979,-20.02,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,0,0
112,52,12,,male,black,refused,e. nor. central,moderate,none,12,1,0,1,0,1,1,.34421474,5.98,No,No,Yes,No,No,No,Yes,No,0,0,0,0,0,1,1
113,39,16,,male,white,$25000 or more,e. nor. central,slightly liberal,native american,16,1,0,1,0,1,1,-.40438211,-7.02,No,Yes,No,No,No,No,Yes,No,0,0,0,0,0,1,1
114,30,16,,female,other,$25000 or more,e. nor. central,moderate,none,16,1,0,1,0,1,1,-.92264146,-16.02,Yes,No,No,Yes,No,No,Yes,No,0,0,0,0,0,1,1
115,48,9,,female,black,$25000 or more,e. nor. central,slightly liberal,none,9,1,0,1,0,1,1,.11387725,1.98,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,1,1
116,62,13,,female,black,$25000 or more,e. nor. central,,protestant,13,1,0,1,0,1,1,.92005849,15.98,Yes,No,Yes,No,No,No,Yes,No,0,0,0,0,0,1,1
117,57,12,,female,white,$25000 or more,e. nor. central,slightly liberal,other (specify),12,1,0,1,0,1,1,.63213658,10.98,Yes,Yes,No,No,No,No,Yes,No,0,0,0,0,0,1,1
118,60,8,9,male,white,$20000 - 24999,middle atlantic,moderate,catholic,8,1,0,0,0,0,0,.80488974,13.98,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
119,47,11,,female,white,,middle atlantic,slghtly conservative,catholic,11,1,0,1,0,1,1,.056292877,.98000002,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
120,55,11,,female,white,$10000 - 14999,middle atlantic,liberal,protestant,11,1,0,1,0,1,1,.51696783,8.9799995,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
121,43,13,,female,white,lt $1000,middle atlantic,moderate,catholic,13,1,0,1,0,1,1,-.17404461,-3.02,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
122,31,10,,female,white,$5000 to 5999,middle atlantic,liberal,catholic,10,1,0,1,0,1,1,-.86505711,-15.02,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
123,44,8,,male,white,$10000 - 14999,middle atlantic,liberal,catholic,8,1,0,1,0,1,1,-.11646024,-2.02,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
124,40,13,12,male,white,$25000 or more,middle atlantic,conservative,protestant,13,1,1,0,0,0,0,-.34679773,-6.02,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
125,25,13,,female,white,$15000 - 19999,middle atlantic,liberal,catholic,13,1,0,1,0,1,1,-1.2105633,-21.02,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
126,37,12,8,female,white,$20000 - 24999,middle atlantic,slghtly conservative,catholic,12,0,0,0,0,0,0,-.51955086,-9.0200005,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
127,56,8,4,male,white,refused,middle atlantic,slghtly conservative,protestant,8,0,0,0,0,0,0,.57455224,9.9799995,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
128,28,10,,male,white,refused,middle atlantic,extremely liberal,catholic,10,1,0,1,0,1,1,-1.0378102,-18.02,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
129,36,11,,male,black,lt $1000,middle atlantic,,protestant,11,1,0,1,0,1,1,-.57713521,-10.02,No,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
130,35,12,,male,black,$8000 to 9999,middle atlantic,moderate,protestant,12,1,0,1,0,1,1,-.63471961,-11.02,No,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
131,23,16,16,male,white,$3000 to 3999,middle atlantic,slightly liberal,protestant,16,1,0,1,1,0,0,-1.3257321,-23.02,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
132,30,15,,male,white,$25000 or more,middle atlantic,slightly liberal,christian,15,1,0,1,0,1,1,-.92264146,-16.02,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
133,32,19,19,male,white,$25000 or more,middle atlantic,liberal,none,19,1,0,1,0,1,1,-.80747271,-14.02,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
134,50,14,,female,black,$10000 - 14999,middle atlantic,moderate,inter-nondenominational,14,1,0,1,0,1,1,.229046,3.98,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
135,38,12,12,female,black,$25000 or more,middle atlantic,moderate,protestant,12,1,1,0,0,0,0,-.46196648,-8.0200005,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,0,0
136,31,16,6,female,white,$20000 - 24999,middle atlantic,conservative,christian,16,0,0,0,0,0,0,-.86505711,-15.02,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
137,82,8,,female,black,$4000 to 4999,middle atlantic,conservative,protestant,8,1,0,1,0,1,1,2.0717459,35.98,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
138,73,12,,female,white,$7000 to 7999,middle atlantic,slghtly conservative,catholic,12,1,0,1,0,1,1,1.5534866,26.98,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,1,1
139,57,11,,male,black,$10000 - 14999,middle atlantic,moderate,none,11,1,0,1,0,1,1,.63213658,10.98,No,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
140,60,13,9,female,black,$15000 - 19999,middle atlantic,moderate,catholic,13,1,0,0,0,0,0,.80488974,13.98,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,0,0
141,76,7,8,male,white,lt $1000,middle atlantic,conservative,protestant,7,0,0,0,0,0,0,1.7262397,29.98,No,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
142,70,11,14,female,black,$10000 - 14999,middle atlantic,liberal,protestant,11,1,0,1,0,0,0,1.3807335,23.98,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,0,0
143,87,7,,female,black,$6000 to 6999,middle atlantic,liberal,protestant,7,1,0,1,0,1,1,2.3596678,40.98,Yes,No,Yes,No,No,Yes,No,No,0,0,0,0,0,1,1
144,70,9,12,female,white,$6000 to 6999,middle atlantic,moderate,catholic,9,1,1,0,0,0,0,1.3807335,23.98,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
145,78,9,11,female,white,$6000 to 6999,middle atlantic,moderate,protestant,9,1,0,0,0,0,0,1.8414085,31.98,Yes,Yes,No,No,No,Yes,No,No,0,0,0,0,0,0,0
146,32,14,,female,black,$25000 or more,south atlantic,conservative,none,14,1,0,1,0,1,1,-.80747271,-14.02,Yes,No,Yes,No,Yes,No,No,No,0,0,0,0,0,1,1
147,58,12,12,female,black,$1000 to 2999,south atlantic,moderate,protestant,12,1,1,0,0,0,0,.68972099,11.98,Yes,No,Yes,No,Yes,No,No,No,0,0,0,0,0,0,0
